"merchant_name","merchant_type","visit_count","total_spent","avg_ticket_size","largest_purchase"
"Property Management","Physical","2","3493.98","1746.99","1819.03"
"Walmart","Physical","4","396.12","99.03","128.94"
"Dentist Office","Physical","1","309.39","309.39","309.39"
"Trader Joes","Physical","3","307.40","102.47","134.23"
"Best Buy","Physical","1","286.83","286.83","286.83"
"Macys","Physical","1","266.13","266.13","266.13"
"Nike","Physical","1","237.68","237.68","237.68"
"Costco","Physical","2","208.62","104.31","144.62"
"Amazon","Physical","1","183.06","183.06","183.06"
"Whole Foods","Physical","1","140.20","140.20","140.20"
