"transaction_date","amount","running_total"
"2023-01-01","97.80","97.80"
"2023-01-02","39.26","137.06"
"2023-01-03","40.12","303.09"
"2023-01-03","125.91","303.09"
"2023-01-04","124.93","589.66"
"2023-01-04","32.70","589.66"
"2023-01-04","128.94","589.66"
"2023-01-05","71.99","661.65"
"2023-01-06","22.74","712.07"
"2023-01-06","27.68","712.07"
"2023-01-08","183.06","919.64"
"2023-01-08","24.51","919.64"
"2023-01-09","1674.95","2594.59"
"2023-01-11","65.37","2681.16"
"2023-01-11","21.20","2681.16"
"2023-01-12","309.39","2990.55"
"2023-01-13","30.25","3070.68"
"2023-01-13","49.88","3070.68"
"2023-01-14","20.70","4910.41"
"2023-01-14","1819.03","4910.41"
"2023-01-16","237.68","5166.53"
"2023-01-16","18.44","5166.53"
"2023-01-18","77.45","5421.42"
"2023-01-18","37.24","5421.42"
"2023-01-18","140.20","5421.42"
"2023-01-19","64.00","5485.42"
"2023-01-20","69.00","5642.06"
"2023-01-20","87.64","5642.06"
"2023-01-21","47.21","5823.50"
"2023-01-21","134.23","5823.50"
"2023-01-22","27.93","5851.43"
"2023-01-23","286.83","6147.09"
"2023-01-23","8.83","6147.09"
"2023-01-24","40.03","6196.01"
"2023-01-24","8.89","6196.01"
"2023-01-26","15.50","6368.32"
"2023-01-26","47.26","6368.32"
"2023-01-26","109.55","6368.32"
"2023-01-29","37.55","6550.49"
"2023-01-29","144.62","6550.49"
"2023-01-30","5.73","6822.35"
"2023-01-30","266.13","6822.35"
