"transaction_date","daily_total","moving_avg_7day"
"2023-01-01","97.80","97.80"
"2023-01-02","39.26","68.53"
"2023-01-03","166.03","101.03"
"2023-01-04","286.57","147.42"
"2023-01-05","71.99","132.33"
"2023-01-06","50.42","118.68"
"2023-01-08","207.57","131.38"
"2023-01-09","1674.95","356.68"
"2023-01-11","86.57","363.44"
"2023-01-12","309.39","383.92"
"2023-01-13","80.13","354.43"
"2023-01-14","1839.73","606.97"
"2023-01-16","256.12","636.35"
"2023-01-18","254.89","643.11"
"2023-01-19","64.00","412.98"
"2023-01-20","156.64","422.99"
"2023-01-21","181.44","404.71"
"2023-01-22","27.93","397.25"
"2023-01-23","295.66","176.67"
"2023-01-24","48.92","147.07"
"2023-01-26","172.31","135.27"
"2023-01-29","182.17","152.15"
"2023-01-30","271.86","168.61"
