"payment_method","category_name","transaction_count","total_spent","avg_transaction"
"Cash","Groceries","3","403.37","134.46"
"Cash","Entertainment","3","225.47","75.16"
"Cash","Shopping","1","183.06","183.06"
"Cash","Gas","2","106.24","53.12"
"Cash","Restaurants","2","105.49","52.75"
"Cash","Transportation","3","66.59","22.20"
"Cash","Subscriptions","2","29.53","14.77"
"Credit Card","Healthcare","1","309.39","309.39"
"Credit Card","Shopping","1","237.68","237.68"
"Credit Card","Restaurants","3","159.42","53.14"
"Credit Card","Groceries","1","144.62","144.62"
"Credit Card","Entertainment","1","30.25","30.25"
"Credit Card","Subscriptions","1","27.68","27.68"
"Debit Card","Rent","1","1674.95","1674.95"
"Debit Card","Shopping","1","266.13","266.13"
"Debit Card","Groceries","2","142.25","71.13"
"Debit Card","Subscriptions","2","49.13","24.57"
"Debit Card","Restaurants","2","47.25","23.63"
"Digital Wallet","Rent","1","1819.03","1819.03"
"Digital Wallet","Groceries","4","362.10","90.53"
"Digital Wallet","Shopping","1","286.83","286.83"
"Digital Wallet","Entertainment","1","77.45","77.45"
"Digital Wallet","Gas","1","47.21","47.21"
"Digital Wallet","Transportation","1","15.50","15.50"
"Digital Wallet","Subscriptions","1","5.73","5.73"
