"merchant_name","total_visits","avg_spend_per_visit","first_visit","last_visit","days_as_customer"
"Walmart","4","99.03","2023-01-04","2023-01-26",22
"Trader Joes","3","102.47","2023-01-03","2023-01-26",23
"Mcdonalds","3","28.27","2023-01-06","2023-01-29",23
"Subway","2","68.68","2023-01-05","2023-01-11",6
"Costco","2","104.31","2023-01-19","2023-01-29",10
"Spotify","2","58.74","2023-01-18","2023-01-24",6
"Netflix","2","59.50","2023-01-01","2023-01-11",10
"Chipotle","2","45.00","2023-01-03","2023-01-13",10
"Microsoft 365","2","24.32","2023-01-14","2023-01-22",8
"Amazon Prime","2","58.95","2023-01-13","2023-01-20",7
"Property Management","2","1746.99","2023-01-09","2023-01-14",5
"Adobe","2","18.26","2023-01-06","2023-01-23",17
